"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"ABHD8",-0.968034494567843,-1.45693678346773,-0.706502362551847,0.494391950298061,0.996260879005333,-5.92633080723401,0.00162692314545418,0.30592860905515,"Not significant","Q96I13",-0.574123420672757,12,"small_vessel_occlusion"
"SMCP",0.23647476806486,0.0577925741672516,0.706238805862214,0.494549555371962,0.996260879005333,-5.89666836475749,0.00162692314545418,0.305790184256307,"Not significant","P49901",0.419136582102094,12,"small_vessel_occlusion"
"GOLGA2P5",-0.15192155619104,0.0925022667894761,-0.705691487872806,0.49487694549337,0.996260879005333,-5.92953310093259,0.00162692314545418,0.305502777908848,"Not significant","Q9HBQ8",-0.133590537948268,12,"small_vessel_occlusion"
"NTRK1",0.213288089754891,0.1465155708914,0.705638507923494,0.494908643602929,0.996260879005333,-5.93939273222535,0.00162692314545418,0.305474961148886,"Not significant","P04629",0.215584999855076,12,"small_vessel_occlusion"
"ATP5IF1",-0.296531920202176,0.286544774891809,-0.705595484863152,0.494934385376655,0.996260879005333,-5.854639890963,0.00162692314545418,0.305452372698074,"Not significant","Q9UII2",-0.472728622092732,12,"small_vessel_occlusion"
"SHOC1",-0.143409279011239,0.0234565669670701,-0.705307398750434,0.495106775511326,0.996260879005333,-5.87053964468689,0.00162692314545418,0.305301130329703,"Not significant","Q5VXU9",-0.214207512246711,12,"small_vessel_occlusion"
"FGFR2",-0.156262634452708,0.0181568553671241,-0.704803303600486,0.495408512923936,0.996260879005333,-5.93998099476963,0.00162692314545418,0.30503653492393,"Not significant","P21802",-0.156222034245729,12,"small_vessel_occlusion"
"DDT",0.195945409986437,0.212655824507237,0.704768919545492,0.495429098343731,0.996260879005333,-5.93194441313731,0.00162692314545418,0.30501848931459,"Not significant","P30046",0.237731087352482,12,"small_vessel_occlusion"
"PSMG3-AS1",0.875543384262224,0.577319663017988,0.704494230988888,0.495593570559937,0.996260879005333,-5.90458880951327,0.00162692314545418,0.304874336453467,"Not significant","Q96PY0",0.208630236983299,12,"small_vessel_occlusion"
"IL33",-0.213457399200981,-0.0979548829297225,-0.704457802989076,0.495615384642985,0.996260879005333,-5.8931398048163,0.00162692314545418,0.304855220936305,"Not significant","O95760",-0.240766523139817,12,"small_vessel_occlusion"
