"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"DMRTC1",-0.070217242650559,0.0667191873552713,-0.731131270041789,0.46578282864738,0.856498215840424,-5.4122252515134,0.0672735373703511,0.331816526022784,"Not significant","Q5HYR2",0.0748745835682141,167,"all_groups_holistic"
"IL1RAP",-0.065659345926192,0.111684368195536,-0.731041152125226,0.465837714837911,0.856498215840424,-5.45233383584397,0.0672735373703511,0.331765353321892,"Not significant","Q9NPH3",-0.011617926040881,167,"all_groups_holistic"
"CDH4",-0.0843859222370113,-0.0214409196336648,-0.730960310856498,0.465886954184987,0.856498215840424,-5.44181160768817,0.0672735373703511,0.331719450540827,"Not significant","P55283",-0.0813879671225404,167,"all_groups_holistic"
"EPHB4",0.0450438822171438,0.0475193331419619,0.73034698554671,0.466260617562277,0.856609528544851,-5.44934950603747,0.0672170990131901,0.33137126543268,"Not significant","P54760",0.0294953778275359,167,"all_groups_holistic"
"ERP44",0.0297132145847833,0.00188888832271478,0.73034171787393,0.466263827575743,0.856609528544851,-5.44482344237988,0.0672170990131901,0.331368275503264,"Not significant","Q9BS26",0.0151048462384275,167,"all_groups_holistic"
"CD40",0.0608038595614932,0.0360669923411587,0.729912456065501,0.466525452683322,0.856799542805314,-5.45535031499138,0.0671207739189441,0.331124657044234,"Not significant","P25942",0.0513711536749107,167,"all_groups_holistic"
"ZRANB3",-0.124222311909332,-0.168185255138906,-0.729304422488922,0.466896175754738,0.857065798501406,-5.44296671544846,0.066985835218999,0.330779683266488,"Not significant","Q5FWF4",-0.216414804468055,167,"all_groups_holistic"
"IGDCC3",-0.0809919067723579,-0.0946553110139456,-0.72861610234099,0.467316049223879,0.857065798501406,-5.44198591481277,0.066985835218999,0.33038930356871,"Not significant","Q8IVU1",-0.0981684937560176,167,"all_groups_holistic"
"ANGPTL5",0.0595279494900243,0.187682835612457,0.728561828816771,0.4673491649165,0.857065798501406,-5.41944846618775,0.066985835218999,0.330358528993262,"Not significant","Q86XS5",0.177060987832661,167,"all_groups_holistic"
"SCN3A",-0.0641083533197799,-0.0613613367041651,-0.728510046303701,0.467380761910775,0.857065798501406,-5.43516276982739,0.066985835218999,0.330329167784491,"Not significant","Q9NY46",-0.131600619888616,167,"all_groups_holistic"
"DNAH7",-0.115854556828072,0.109584596556678,-0.728377470454145,0.467461663362842,0.857065798501406,-5.43519925174539,0.066985835218999,0.330253999920156,"Not significant","Q8WXX0",0.141250366896212,167,"all_groups_holistic"
"TPSD1",0.0683080013867227,0.0589308724097328,0.727792459663997,0.467818746702281,0.857415990104971,-5.44702835161172,0.06680842151398,0.329922378879527,"Not significant","Q9BZJ3",0.00084873717579996,167,"all_groups_holistic"
"DCTN1",0.116693340722019,-0.0983488243087167,0.727545901331563,0.467969288543259,0.857415990104971,-5.46300644550896,0.06680842151398,0.32978264746828,"Not significant","Q14203",0.22446693361158,167,"all_groups_holistic"
"VSIG10L",0.0563862265300984,0.00876520358968504,0.726399544881201,0.468669578426495,0.85840866985387,-5.45923735997423,0.0663059046829717,0.329133235833942,"Not significant","Q86VR7",0.0403233603330532,167,"all_groups_holistic"
"CASZ1",0.117663391716889,-0.180525838251053,0.726011787300862,0.468906585467839,0.858552422884995,-5.43857296411027,0.0662331818372601,0.328913667853474,"Not significant","Q86V15",-0.118240530733383,167,"all_groups_holistic"
"RORB",-0.0289012266310125,-0.0107514453232065,-0.725415801299552,0.469270997367412,0.858713952784351,-5.44821026684935,0.0661514804248834,0.328576285916452,"Not significant","Q92753",0.017130847260238,167,"all_groups_holistic"
"TNIP1",0.119028759157804,-0.198264967929014,0.725348907214443,0.469311909202673,0.858713952784351,-5.46360407754526,0.0661514804248834,0.328538425043033,"Not significant","Q15025",0.166519717008578,167,"all_groups_holistic"
"NSMCE2",-0.0850807455574459,-0.118870147364493,-0.724916071073528,0.46957667610547,0.858908232957523,-5.44793126206143,0.0660532343633081,0.328293482651097,"Not significant","Q96MF7",-0.034857960427468,167,"all_groups_holistic"
"CNOT10",0.0849907811540795,-0.0601656499463775,0.723353363773623,0.470533281322948,0.859661437112872,-5.43362994893123,0.0656725545048702,0.327409653036458,"Not significant","Q9H9A5",0.20845699368507,167,"all_groups_holistic"
"ASB6",-0.0758282394793833,-0.11618076187341,-0.722912581580946,0.470803300699239,0.859661437112872,-5.43474252562807,0.0656725545048702,0.327160501074055,"Not significant","Q9NWX5",-0.0876958794044866,167,"all_groups_holistic"
"GSDMD",0.109404404373523,-0.0585008088588536,0.72289261773911,0.470815532420245,0.859661437112872,-5.45115407084406,0.0656725545048702,0.327149218018215,"Not significant","P57764",0.215456887830285,167,"all_groups_holistic"
"TNFAIP2",0.0657338267969056,-0.0425508455791605,0.722865041887755,0.470832428263058,0.859661437112872,-5.4533346942134,0.0656725545048702,0.327133633061611,"Not significant","Q03169",0.0576049272649934,167,"all_groups_holistic"
"OSER1",0.149119026510809,-0.349677981875703,0.722758726847454,0.47089757110759,0.859661437112872,-5.41571973614557,0.0656725545048702,0.327073549644963,"Not significant","Q9NX31",-0.054828680616931,167,"all_groups_holistic"
"MACF1",-0.179031721686478,-0.0233548364245115,-0.722238996073757,0.471216100107356,0.859661437112872,-5.46102185007557,0.0656725545048702,0.326779879366265,"Not significant","Q9UPN3",-0.235209850726624,167,"all_groups_holistic"
"MGLL",0.0506204371906058,-0.141448434910034,0.722076032855142,0.471316000580703,0.859661437112872,-5.4324018374104,0.0656725545048702,0.326687816243014,"Not significant","Q99685",-0.0413763872826292,167,"all_groups_holistic"
"EPC1",-0.0808284311720387,0.183920215988186,-0.722072558979895,0.471318130280296,0.859661437112872,-5.43984369420994,0.0656725545048702,0.326685853834162,"Not significant","Q9H2F5",-0.141753128447072,167,"all_groups_holistic"
"RWDD1",0.103221350505154,0.0641005941175906,0.721911297661716,0.471416999303034,0.859661437112872,-5.46073495758171,0.0656725545048702,0.326594760864746,"Not significant","Q9H446",0.110011874284562,167,"all_groups_holistic"
"GORASP2",-0.074036307986736,0.116471609334924,-0.721406046007947,0.471726842927637,0.859936917299254,-5.45242105693914,0.0655334062839665,0.32630941015739,"Not significant","Q9H8Y8",-0.0543459845523025,167,"all_groups_holistic"
"GLB1",0.0956771550635488,0.0171904847552877,0.720872880709008,0.472053927346597,0.860208637860542,-5.45286280616756,0.065396200753871,0.326008384816692,"Not significant","P16278",0.145556255091504,167,"all_groups_holistic"
"ENTPD4",-0.0665101399262868,-0.0225142682902515,-0.720045336461517,0.472561856131309,0.860208637860542,-5.45926068144662,0.065396200753871,0.32554133632244,"Not significant","Q9Y227",-0.0764613629226876,167,"all_groups_holistic"
"RAB10",0.0579988390374504,0.0111188169172826,0.719767242422652,0.472732612424104,0.860208637860542,-5.452867090814,0.065396200753871,0.32538443597237,"Not significant","P61026",0.0133123897027707,167,"all_groups_holistic"
"SHPRH",-0.065760851128054,0.144293163462492,-0.719618477837667,0.472823971461606,0.860208637860542,-5.44716047650645,0.065396200753871,0.325300513493993,"Not significant","Q149N8",-0.0307060510588094,167,"all_groups_holistic"
"YKT6",0.0681717954089731,0.225336440573976,0.71951879629019,0.47288519320234,0.860208637860542,-5.44087211725251,0.065396200753871,0.325244284231967,"Not significant","O15498",-0.0160830865709486,167,"all_groups_holistic"
"RIPOR2",0.0673026697812005,-0.045845129950987,0.719375562374124,0.472973171354614,0.860208637860542,-5.4479782404938,0.065396200753871,0.325163493222229,"Not significant","Q9Y4F9",-0.0141355873089673,167,"all_groups_holistic"
"C6orf132",0.0770756882869383,-0.135034948474488,0.719351928188074,0.472987688986095,0.860208637860542,-5.45458103821931,0.065396200753871,0.325150163014802,"Not significant","Q5T0Z8",0.300496043391774,167,"all_groups_holistic"
"NEDD4L",0.0885335944511058,-0.0431313171235476,0.718871661314879,0.47328275329975,0.860456324898102,-5.45489353490341,0.06527116872646,0.324879321188504,"Not significant","Q96PU5",0.0825763806824151,167,"all_groups_holistic"
"FBXO22",0.073649373997042,-0.0218178393168676,0.718539810188158,0.47348669428764,0.860538233644919,-5.44719033269969,0.0652298292386474,0.32469222083948,"Not significant","Q8NEZ5",0.0838480395681893,167,"all_groups_holistic"
"PPP1R2P1",-0.0674440542939069,0.126108808102767,-0.717973359774068,0.473834922294157,0.86088223386285,-5.44448143516943,0.0650562546806248,0.324372934325082,"Not significant","Q96PQ5",-0.208659577266545,167,"all_groups_holistic"
"PRSS22",-0.0509326302242019,0.0288536390624271,-0.717196438532545,0.474312769285764,0.860902410678921,-5.43888314942391,0.0650460760791251,0.323935183263592,"Not significant","Q9GZN4",0.00182389263365423,167,"all_groups_holistic"
"AMMECR1L",0.0832400323218826,0.00132887920331277,0.716165884243715,0.474947025982345,0.860902410678921,-5.44229326729561,0.0650460760791251,0.32335482744151,"Not significant","Q6DCA0",0.103373043102779,167,"all_groups_holistic"
"AKAP11",-0.13617469136351,0.0748192726126956,-0.716142706306156,0.474961296292588,0.860902410678921,-5.45556125882981,0.0650460760791251,0.323341778778078,"Not significant","Q9UKA4",-0.0684504242834741,167,"all_groups_holistic"
"ATP6AP2",-0.0664865482930967,0.029378320798724,-0.716112125502724,0.474980124800416,0.860902410678921,-5.44974317627417,0.0650460760791251,0.323324562733232,"Not significant","O75787",-0.0698444357213176,167,"all_groups_holistic"
"MRI1",0.13225223897641,-0.0170409027654343,0.715784051877478,0.475182144753523,0.860902410678921,-5.46931139425924,0.0650460760791251,0.323139886588952,"Not significant","Q9BV20",0.121255577940615,167,"all_groups_holistic"
"ADAMTS1",0.0585213377939959,0.0191693008113318,0.71558181314504,0.475306702277829,0.860902410678921,-5.44254363903071,0.0650460760791251,0.323026061695658,"Not significant","Q9UHI8",-0.0194983445058559,167,"all_groups_holistic"
"TPRG1L",0.148115276954891,-0.464513453254462,0.715419696975346,0.475406561633253,0.860902410678921,-5.43910930130207,0.0650460760791251,0.32293482836836,"Not significant","Q5T0D9",0.339672003713526,167,"all_groups_holistic"
"RBM27",0.0802566010559252,-0.0181422506035222,0.715408618643542,0.475413386022394,0.860902410678921,-5.45496592942307,0.0650460760791251,0.322928594181638,"Not significant","Q9P2N5",0.0497065987590212,167,"all_groups_holistic"
"C3orf70",-0.0745178259535299,-0.116583890170082,-0.715286696462583,0.475488495174945,0.860902410678921,-5.43932620117762,0.0650460760791251,0.322859986702347,"Not significant","A6NLC5",-0.113085058603205,167,"all_groups_holistic"
"MORC2",0.144960776265609,-0.326180445712093,0.715253233929317,0.475509110641367,0.860902410678921,-5.46508510502083,0.0650460760791251,0.322841157667961,"Not significant","Q9Y6X9",0.13836450337433,167,"all_groups_holistic"
"BMI1",0.0450825024682888,-0.0219279015001082,0.714964477984787,0.475687026834519,0.860902410678921,-5.43980020524541,0.0650460760791251,0.322678692706669,"Not significant","P35226",0.065401686628439,167,"all_groups_holistic"
"ZCWPW1",-0.125294360471794,-0.443754650669139,-0.714856620377708,0.475753492459751,0.860902410678921,-5.43750517434858,0.0650460760791251,0.322618014916022,"Not significant","Q9H0M4",0.0370646905634053,167,"all_groups_holistic"
"FURIN",0.0602975352193381,-0.0054081725458542,0.713427508698195,0.47663464616869,0.862208832214303,-5.46952932518297,0.0643875326740948,0.321814392344149,"Not significant","P09958",0.0420498165266317,167,"all_groups_holistic"
"ADAMTS13",0.0426024258074273,-0.0452603440575614,0.713059871399062,0.476861467766296,0.862245107992951,-5.45141916482475,0.0643692609532578,0.321607768806548,"Not significant","Q76LX8",0.0908955256757772,167,"all_groups_holistic"
"CETN3",0.0595170507227162,0.0824893981965627,0.71287896082408,0.476973106267888,0.862245107992951,-5.46223569893903,0.0643692609532578,0.321506107602917,"Not significant","O15182",0.0100806096535785,167,"all_groups_holistic"
"ITGB7",-0.0563674480840947,0.0291958339874839,-0.712321705315577,0.47731707504335,0.862505885636895,-5.46600810923826,0.0642379326710305,0.321193029357903,"Not significant","P26010",-0.0640669782763273,167,"all_groups_holistic"
"SPINK6",-0.0865697119683135,-0.131195848945718,-0.712129308029059,0.477435865055283,0.862505885636895,-5.47317154476258,0.0642379326710305,0.321084959835858,"Not significant","Q6UWN8",0.0294910701181717,167,"all_groups_holistic"
"FUBP3",-0.073968872242777,0.00904773847997456,-0.710684993866624,0.4783281352947,0.863450958993264,-5.44321573064199,0.0637623238098214,0.320274073144622,"Not significant","Q96I24",-0.124630187598464,167,"all_groups_holistic"
"CFAP299",-0.0485591617007766,-0.0122825666512,-0.710680856895259,0.478330692358785,0.863450958993264,-5.46197814479189,0.0637623238098214,0.320271751483462,"Not significant","Q6V702",-0.0232909757962837,167,"all_groups_holistic"
"IL17RE",0.0504676939312458,0.00334715297233737,0.710503872007316,0.478440093869561,0.863450958993264,-5.44530439843427,0.0637623238098214,0.320172433081745,"Not significant","Q8NFR9",0.0920968073021088,167,"all_groups_holistic"
"KXD1",-0.0905023686531125,0.0785290068656786,-0.710196046622759,0.478630406053575,0.863450958993264,-5.44932439745973,0.0637623238098214,0.319999715330122,"Not significant","Q9BQD3",-0.105125863337889,167,"all_groups_holistic"
"KAT6A",0.0809171950217869,0.156403040067254,0.709633311884768,0.478978423125941,0.863450958993264,-5.43709403511467,0.0637623238098214,0.319684050110284,"Not significant","Q92794",0.00379522045915162,167,"all_groups_holistic"
"SLC40A1",-0.0806730874428395,0.0509534649673604,-0.709320770758684,0.479171770958837,0.863450958993264,-5.44315564102054,0.0637623238098214,0.319508775088533,"Not significant","Q9NP59",-0.0120946141130967,167,"all_groups_holistic"
"NT-proBNP",-0.193309951960318,0.0791014755468169,-0.709207578102451,0.479241806126576,0.863450958993264,-5.46557877180978,0.0637623238098214,0.319445303769534,"Not significant","NT-proBNP",-0.123794167143168,167,"all_groups_holistic"
"SNX33",0.0575767353397822,0.062202016917799,0.70891403673371,0.479423453894946,0.863450958993264,-5.45755307977809,0.0637623238098214,0.319280723644047,"Not significant","Q8WV41",0.060110465460354,167,"all_groups_holistic"
"MARS1",0.0953488575748145,0.0161736406787427,0.708824256681382,0.479479018701184,0.863450958993264,-5.46881438619257,0.0637623238098214,0.319230392167272,"Not significant","P56192",0.0723925200565643,167,"all_groups_holistic"
"GRK5",-0.125025367598169,0.0797794440947334,-0.708704300122197,0.479553265260661,0.863450958993264,-5.4544680671824,0.0637623238098214,0.319163147567305,"Not significant","P34947",-0.0979639936691244,167,"all_groups_holistic"
"NT5C1A",0.0948463055957552,0.218578542063353,0.707961766233037,0.480012994078301,0.863884399014334,-5.45587338985692,0.0635443688974011,0.318747005999162,"Not significant","Q9BXI3",0.0759031087794823,167,"all_groups_holistic"
"NXPH3",-0.0693924196128664,-0.052854343702247,-0.707669807779627,0.480193822240103,0.863884399014334,-5.46722510024698,0.0635443688974011,0.31858343150159,"Not significant","O95157",-0.0360616411934216,167,"all_groups_holistic"
"KANSL1",0.0636139547761822,-0.0167865670707166,0.707294343234042,0.480426426052465,0.863884399014334,-5.44789346301081,0.0635443688974011,0.318373112066138,"Not significant","Q7Z3B3",-0.0622544519507926,167,"all_groups_holistic"
"TRIM39",0.149509817177312,0.178856802211996,0.707144400506588,0.480519334298019,0.863884399014334,-5.46524234681336,0.0635443688974011,0.318289133260761,"Not significant","Q9HCM9",0.0019948440476352,167,"all_groups_holistic"
